Parcel_ID,Latitude,Longitude,Area_sq_m,Land_Type
LP109,17.71216,83.151965,170,Mixed Use
LP110,17.711851,83.15197,172,Mixed Use
LP111,17.712273,83.151139,119,Mixed Use
LP112,17.712195,83.151018,119,Mixed Use
LP113,17.71177,83.150129,141,Mixed Use
LP114,17.711944,83.150906,115,Mixed Use
LP115,17.711686,83.150617,110,Mixed Use
LP116,17.711802,83.150285,254,Mixed Use
LP117,17.711349,83.150958,110,Mixed Use
LP118,17.711822,83.150931,115,Mixed Use
LP119,17.711863,83.1511,105,Mixed Use
LP120,17.711683,83.151639,105,Mixed Use
LP121,17.711492,83.151742,249,Mixed Use
LP122,17.711659,83.151314,135,Mixed Use
LP123,17.711611,83.151436,142,Mixed Use
LP124,17.693719,83.164395,200,Mixed Use
LP125,17.693606,83.164367,200,Mixed Use
LP126,17.693771,83.164145,360,Residential
LP127,17.693825,83.164015,244,Mixed Use
LP128,17.693843,83.163835,179,Mixed Use
LP129,17.693676,83.163424,642,Commercial
LP130,17.69373,83.16322,386,Residential
LP131,17.693728,83.16288,282,Residential
LP132,17.693407,83.162782,399,Residential
LP133,17.692928,83.162843,198,Mixed Use
LP134,17.692977,83.163054,237,Mixed Use
LP135,17.692851,83.163027,237,Mixed Use
LP136,17.692487,83.163036,124,Mixed Use
LP137,17.69247,83.162955,229,Mixed Use
LP138,17.692573,83.162643,433,Residential
LP139,17.692585,83.162466,471,Residential
LP140,17.693242,83.161832,548,Residential
LP141,17.6931,83.161777,353,Residential
LP142,17.693191,83.161532,239,Mixed Use
LP143,17.692977,83.161328,336,Residential
LP144,17.692852,83.161606,266,Residential
LP145,17.692854,83.161753,201,Mixed Use
LP146,17.692769,83.161726,201,Mixed Use
LP147,17.692985,83.162043,638,Commercial
LP148,17.692373,83.16114,179,Mixed Use
LP149,17.692742,83.16102,599,Commercial
LP150,17.692659,83.161262,480,Residential
LP151,17.692616,83.161614,173,Mixed Use
LP152,17.692487,83.161618,334,Residential
LP153,17.692379,83.16141,266,Residential
LP154,17.692184,83.161524,331,Residential
LP155,17.692328,83.161561,313,Residential
LP156,17.692026,83.162844,183,Mixed Use
LP157,17.692054,83.162751,183,Mixed Use
LP158,17.692092,83.162531,260,Mixed Use
LP159,17.69194,83.162474,202,Mixed Use
LP160,17.691658,83.162123,250,Mixed Use
LP161,17.691672,83.16183,248,Mixed Use
LP162,17.691329,83.161634,171,Mixed Use
LP163,17.691464,83.161598,550,Residential
LP164,17.691361,83.161791,637,Commercial
LP165,17.691189,83.161989,167,Mixed Use
LP166,17.691364,83.161977,405,Residential
LP167,17.690959,83.163014,288,Residential
LP168,17.691019,83.162804,278,Residential
LP169,17.691226,83.162976,230,Mixed Use
LP170,17.691156,83.1643,260,Mixed Use
LP171,17.691013,83.164257,257,Mixed Use
LP172,17.691586,83.164085,260,Mixed Use
LP173,17.691439,83.16404,318,Residential
LP174,17.69172,83.163368,245,Mixed Use
LP175,17.691594,83.16332,245,Mixed Use
LP176,17.691611,83.163483,172,Mixed Use
LP177,17.691695,83.163521,172,Mixed Use
LP178,17.691624,83.163771,239,Mixed Use
LP179,17.691509,83.163728,239,Mixed Use
LP180,17.691894,83.163187,193,Mixed Use
LP181,17.691915,83.163109,193,Mixed Use
LP182,17.692092,83.163198,152,Mixed Use
LP183,17.69226,83.163395,233,Mixed Use
LP184,17.692112,83.163355,304,Residential
LP185,17.693294,83.163228,328,Residential
LP186,17.693262,83.163375,289,Residential
LP187,17.693189,83.16384,410,Residential
LP188,17.69331,83.16369,530,Residential
LP189,17.692981,83.163557,347,Residential
LP190,17.692814,83.163566,222,Mixed Use
LP191,17.692838,83.163471,222,Mixed Use
LP192,17.692891,83.16388,173,Mixed Use
LP193,17.692908,83.16379,173,Mixed Use
LP194,17.691718,83.164352,395,Residential
LP195,17.691709,83.164537,221,Mixed Use
LP196,17.69198,83.164644,208,Mixed Use
LP197,17.691887,83.164451,295,Residential
LP198,17.692045,83.163604,230,Mixed Use
LP199,17.692019,83.163717,236,Mixed Use
LP200,17.691966,83.163911,136,Mixed Use
LP201,17.692161,83.163831,324,Residential
LP202,17.692091,83.164106,638,Commercial
LP203,17.692297,83.165096,210,Mixed Use
LP204,17.692191,83.16507,210,Mixed Use
LP205,17.692421,83.16482,121,Mixed Use
LP206,17.692355,83.164805,121,Mixed Use
LP207,17.692289,83.164789,121,Mixed Use
LP208,17.692223,83.164774,121,Mixed Use
LP209,17.692482,83.164639,242,Mixed Use
LP210,17.692408,83.16462,241,Mixed Use
LP211,17.692333,83.164601,242,Mixed Use
LP212,17.692258,83.164582,241,Mixed Use
LP213,17.692425,83.164042,313,Residential
LP214,17.692444,83.163962,314,Residential
LP215,17.692463,83.163881,313,Residential
LP216,17.697707,83.159608,390,Residential
LP217,17.69783,83.159386,506,Residential
LP218,17.697866,83.159661,304,Residential
LP219,17.698032,83.160021,461,Residential
LP220,17.697861,83.159964,324,Residential
LP221,17.697825,83.160712,409,Residential
LP222,17.697406,83.160423,618,Commercial
LP223,17.697342,83.16099,147,Mixed Use
LP224,17.697466,83.161076,311,Residential
LP225,17.697283,83.161096,179,Mixed Use
LP226,17.689929,83.166193,725,Commercial
LP227,17.690016,83.165793,200,Mixed Use
LP228,17.690258,83.165851,361,Residential
LP229,17.690517,83.165434,558,Residential
LP230,17.690175,83.164865,375,Residential
LP231,17.690069,83.165554,359,Residential
LP232,17.689955,83.165388,191,Mixed Use
LP233,17.690087,83.165391,149,Mixed Use
LP234,17.690034,83.165084,246,Mixed Use
LP235,17.690068,83.164971,205,Mixed Use
LP236,17.690258,83.165436,215,Mixed Use
LP237,17.690413,83.164951,200,Mixed Use
LP238,17.690667,83.164777,303,Residential
LP239,17.690355,83.16461,213,Mixed Use
LP240,17.69021,83.164576,199,Mixed Use
LP241,17.690341,83.164451,463,Residential
LP242,17.690281,83.164104,205,Mixed Use
LP243,17.690509,83.163601,994,Commercial
LP244,17.689996,83.163778,768,Commercial
LP245,17.690073,83.163467,639,Commercial
LP246,17.690143,83.163198,261,Mixed Use
LP247,17.690183,83.163032,330,Residential
LP248,17.689899,83.163136,513,Residential
LP249,17.702268,83.16326,4064,Commercial
LP250,17.702604,83.162769,363,Residential
LP251,17.696568,83.152013,202,Mixed Use
LP252,17.694111,83.155736,113,Mixed Use
LP253,17.710714,83.149606,61,Mixed Use
LP254,17.690755,83.15904,233,Mixed Use
LP255,17.692256,83.156956,403,Residential
LP256,17.692773,83.15779,523,Residential
LP257,17.693236,83.15828,1387,Commercial
LP258,17.693471,83.15805,371,Residential
LP259,17.693177,83.157953,354,Residential
LP260,17.693396,83.157789,1189,Commercial
LP261,17.697574,83.158874,555,Residential
LP262,17.704375,83.163264,237,Mixed Use
LP263,17.698798,83.170365,12244,Commercial
LP264,17.703752,83.168429,342,Residential
LP265,17.703538,83.16888,520,Residential
LP266,17.703648,83.168644,495,Residential
LP267,17.704521,83.168698,472,Residential
LP268,17.704037,83.168532,524,Residential
LP269,17.703909,83.168788,596,Commercial
LP270,17.703787,83.169066,596,Commercial
LP271,17.704437,83.16893,472,Residential
LP272,17.703895,83.169574,322,Residential
LP273,17.70395,83.1694,341,Residential
LP274,17.704191,83.168896,591,Commercial
LP275,17.70406,83.169173,591,Commercial
LP276,17.703046,83.165088,722,Commercial
LP277,17.704223,83.16413,238,Mixed Use
LP278,17.702992,83.165663,505,Residential
LP279,17.703405,83.163643,385,Residential
LP280,17.702096,83.160024,345,Residential
LP281,17.701119,83.160352,426,Residential
LP282,17.700688,83.161415,1294,Commercial
LP283,17.699326,83.160554,203,Mixed Use
LP284,17.698965,83.160271,331,Residential
LP285,17.695976,83.160703,261,Residential
LP286,17.695932,83.158737,370,Residential
LP287,17.696375,83.158344,544,Residential
LP288,17.698168,83.159708,327,Residential
LP289,17.699501,83.158402,910,Commercial
LP290,17.699362,83.157861,273,Residential
LP291,17.69896,83.158211,861,Commercial
LP292,17.704208,83.160709,331,Residential
LP293,17.704126,83.160152,492,Residential
LP294,17.703762,83.1603,334,Residential
LP295,17.703261,83.160652,311,Residential
LP296,17.7026,83.161452,526,Residential
LP297,17.70169,83.160665,573,Residential
LP298,17.69802,83.164013,232,Mixed Use
LP299,17.698253,83.16438,257,Mixed Use
LP300,17.698149,83.164341,256,Mixed Use
LP301,17.698174,83.16455,211,Mixed Use
LP302,17.698343,83.164609,341,Residential
LP303,17.698689,83.164538,588,Commercial
LP304,17.698404,83.165074,493,Residential
LP305,17.698167,83.164971,499,Residential
LP306,17.698198,83.164093,287,Residential
LP307,17.696481,83.163412,253,Mixed Use
LP308,17.696753,83.162893,614,Commercial
LP309,17.697115,83.161976,397,Residential
LP310,17.700461,83.163899,379,Residential
LP311,17.700938,83.163616,660,Commercial
LP312,17.701485,83.163056,288,Residential
LP313,17.701372,83.163163,288,Residential
LP314,17.699425,83.164949,513,Residential
LP315,17.69964,83.165033,547,Residential
LP316,17.69966,83.164731,1805,Commercial
LP317,17.708894,83.157548,518,Residential
LP318,17.709186,83.157566,298,Residential
LP319,17.709108,83.157758,351,Residential
LP320,17.709353,83.158253,579,Residential
LP321,17.709071,83.158041,1357,Commercial
LP322,17.709409,83.15786,5140,Commercial
LP323,17.709575,83.156644,15926,Commercial
LP324,17.709921,83.154877,2637,Commercial
LP325,17.708326,83.152659,1714,Commercial
LP326,17.708816,83.152171,8033,Commercial
LP327,17.707491,83.151697,8036,Commercial
LP328,17.709851,83.162086,1281,Commercial
LP329,17.711332,83.162532,1389,Commercial
LP330,17.713677,83.164264,5195,Commercial
LP331,17.712862,83.164253,1877,Commercial
LP332,17.710913,83.163906,2162,Commercial
LP333,17.702679,83.135881,616,Commercial
LP334,17.702687,83.136068,616,Commercial
LP335,17.702705,83.136859,616,Commercial
LP336,17.702709,83.137051,616,Commercial
LP337,17.702723,83.137359,615,Commercial
LP338,17.702724,83.137549,616,Commercial
LP339,17.702693,83.13637,482,Residential
LP340,17.702703,83.136529,481,Residential
LP341,17.702705,83.136687,482,Residential
LP342,17.703137,83.135674,735,Commercial
LP343,17.703146,83.135865,735,Commercial
LP344,17.703154,83.136061,735,Commercial
LP345,17.703536,83.135465,735,Commercial
LP346,17.703553,83.135658,735,Commercial
LP347,17.703558,83.135853,734,Commercial
LP348,17.703569,83.13605,735,Commercial
LP349,17.703572,83.136436,735,Commercial
LP350,17.703583,83.136631,734,Commercial
LP351,17.703587,83.136825,735,Commercial
LP352,17.703594,83.13702,735,Commercial
LP353,17.703167,83.13646,735,Commercial
LP354,17.703169,83.136649,735,Commercial
LP355,17.703173,83.136842,735,Commercial
LP356,17.703178,83.137037,734,Commercial
LP357,17.703608,83.137326,734,Commercial
LP358,17.703614,83.137527,735,Commercial
LP359,17.703618,83.137721,734,Commercial
LP360,17.70363,83.137908,735,Commercial
LP361,17.703206,83.137923,735,Commercial
LP362,17.704466,83.135627,734,Commercial
LP363,17.70447,83.135826,734,Commercial
LP364,17.704474,83.136017,734,Commercial
LP365,17.704052,83.135641,735,Commercial
LP366,17.704058,83.135835,734,Commercial
LP367,17.704073,83.136031,735,Commercial
LP368,17.704071,83.136422,734,Commercial
LP369,17.704078,83.136617,735,Commercial
LP370,17.704082,83.136812,734,Commercial
LP371,17.70409,83.137008,735,Commercial
LP372,17.704076,83.137314,655,Commercial
LP373,17.704969,83.135992,734,Commercial
LP374,17.704966,83.135804,735,Commercial
LP375,17.704962,83.135613,734,Commercial
LP376,17.705035,83.135341,734,Commercial
LP377,17.705094,83.135149,735,Commercial
LP378,17.705146,83.134955,734,Commercial
LP379,17.709192,83.137432,40,Mixed Use
LP380,17.70915,83.137472,40,Mixed Use
LP381,17.709107,83.137511,40,Mixed Use
LP382,17.709066,83.137551,40,Mixed Use
LP383,17.709029,83.137508,40,Mixed Use
LP384,17.709071,83.137472,40,Mixed Use
LP385,17.709113,83.137433,40,Mixed Use
LP386,17.709154,83.137393,40,Mixed Use
LP387,17.708903,83.137455,40,Mixed Use
LP388,17.708866,83.137415,40,Mixed Use
LP389,17.708948,83.137336,40,Mixed Use
LP390,17.708944,83.137417,40,Mixed Use
LP391,17.708987,83.137376,40,Mixed Use
LP392,17.709029,83.137337,40,Mixed Use
LP393,17.70895,83.137168,40,Mixed Use
LP394,17.708907,83.137207,40,Mixed Use
LP395,17.708864,83.137245,40,Mixed Use
LP396,17.708823,83.137284,40,Mixed Use
LP397,17.70878,83.137325,40,Mixed Use
LP398,17.708782,83.137247,40,Mixed Use
LP399,17.708825,83.137204,40,Mixed Use
LP400,17.70887,83.137166,40,Mixed Use
LP401,17.708665,83.137192,40,Mixed Use
LP402,17.708704,83.137154,40,Mixed Use
LP403,17.708745,83.137112,40,Mixed Use
LP404,17.708788,83.13707,40,Mixed Use
LP405,17.708789,83.136992,40,Mixed Use
LP406,17.708708,83.137068,40,Mixed Use
LP407,17.708666,83.137109,40,Mixed Use
LP408,17.708624,83.13715,40,Mixed Use
LP409,17.708544,83.137056,40,Mixed Use
LP410,17.708588,83.137017,40,Mixed Use
LP411,17.708628,83.136977,40,Mixed Use
LP412,17.708669,83.136936,40,Mixed Use
LP413,17.708594,83.136729,40,Mixed Use
LP414,17.708553,83.136767,40,Mixed Use
LP415,17.708514,83.136807,40,Mixed Use
LP416,17.708472,83.136845,40,Mixed Use
LP417,17.708431,83.136884,40,Mixed Use
LP418,17.708181,83.135577,326,Residential
LP419,17.708096,83.13572,326,Residential
LP420,17.708012,83.135865,326,Residential
LP421,17.707913,83.136016,482,Residential
LP422,17.707526,83.135786,482,Residential
LP423,17.707618,83.135616,482,Residential
LP424,17.707388,83.135481,482,Residential
LP425,17.707292,83.135653,482,Residential
LP426,17.707236,83.135034,482,Residential
LP427,17.706988,83.134888,482,Residential
LP428,17.706306,83.134921,303,Residential
LP429,17.706566,83.135856,349,Residential
LP430,17.706423,83.136098,349,Residential
LP431,17.706288,83.136346,348,Residential
LP432,17.706151,83.136597,349,Residential
LP433,17.706628,83.136223,348,Residential
LP434,17.706495,83.136467,349,Residential
LP435,17.706352,83.136722,348,Residential
LP436,17.707036,83.135318,379,Residential
LP437,17.706951,83.135468,379,Residential
LP438,17.707483,83.136128,342,Residential
LP439,17.707416,83.136245,342,Residential
LP440,17.707217,83.135969,342,Residential
LP441,17.707155,83.136094,342,Residential
LP442,17.706978,83.135829,342,Residential
LP443,17.706907,83.135948,342,Residential
LP444,17.705253,83.136837,342,Residential
LP445,17.705181,83.136959,342,Residential
LP446,17.705009,83.136688,342,Residential
LP447,17.704949,83.136813,342,Residential
LP448,17.704996,83.137302,342,Residential
LP449,17.704764,83.137156,342,Residential
LP450,17.704823,83.137032,342,Residential
LP451,17.705067,83.137181,342,Residential
LP452,17.704782,83.137641,342,Residential
LP453,17.70455,83.137495,342,Residential
LP454,17.70461,83.137371,342,Residential
LP455,17.704854,83.13752,342,Residential
LP456,17.704594,83.137984,342,Residential
LP457,17.704362,83.137838,342,Residential
LP458,17.704422,83.137714,342,Residential
LP459,17.704666,83.137863,342,Residential
LP460,17.704406,83.138324,342,Residential
LP461,17.704174,83.138178,342,Residential
LP462,17.704233,83.138054,342,Residential
LP463,17.704478,83.138203,342,Residential
LP464,17.708721,83.149412,43,Mixed Use
