Property_ID,Building_ID,Parcel_ID,Floor_No,Unit_No,Area_sq_m,Property_Type,Prototype_3D_ULPIN
PROP-B002-F03-U301,B002,LP002,3,301,207.1,Residential,IND-AP-VSP-DVD-LP002-B002-F03-301
PROP-B003-F01-U101,B003,LP003,1,101,209.8,Residential,IND-AP-VSP-DVD-LP003-B003-F01-101
PROP-B003-F02-U201,B003,LP003,2,201,209.8,Residential,IND-AP-VSP-DVD-LP003-B003-F02-201
PROP-B003-F03-U301,B003,LP003,3,301,209.8,Residential,IND-AP-VSP-DVD-LP003-B003-F03-301
PROP-B004-F01-U101,B004,LP004,1,101,143.2,Residential,IND-AP-VSP-DVD-LP004-B004-F01-101
PROP-B004-F02-U201,B004,LP004,2,201,143.2,Residential,IND-AP-VSP-DVD-LP004-B004-F02-201
PROP-B004-F03-U301,B004,LP004,3,301,143.2,Residential,IND-AP-VSP-DVD-LP004-B004-F03-301
PROP-B005-F01-U101,B005,LP005,1,101,176.1,Residential,IND-AP-VSP-DVD-LP005-B005-F01-101
PROP-B005-F02-U201,B005,LP005,2,201,176.1,Residential,IND-AP-VSP-DVD-LP005-B005-F02-201
PROP-B005-F03-U301,B005,LP005,3,301,176.1,Residential,IND-AP-VSP-DVD-LP005-B005-F03-301
PROP-B006-F01-U101,B006,LP006,1,101,144.9,Residential,IND-AP-VSP-DVD-LP006-B006-F01-101
PROP-B006-F02-U201,B006,LP006,2,201,144.9,Residential,IND-AP-VSP-DVD-LP006-B006-F02-201
PROP-B007-F01-U101,B007,LP007,1,101,160.6,Residential,IND-AP-VSP-DVD-LP007-B007-F01-101
PROP-B007-F02-U201,B007,LP007,2,201,160.6,Residential,IND-AP-VSP-DVD-LP007-B007-F02-201
PROP-B007-F03-U301,B007,LP007,3,301,160.6,Residential,IND-AP-VSP-DVD-LP007-B007-F03-301
PROP-B008-F01-U101,B008,LP008,1,101,105.9,Residential,IND-AP-VSP-DVD-LP008-B008-F01-101
PROP-B008-F02-U201,B008,LP008,2,201,105.9,Residential,IND-AP-VSP-DVD-LP008-B008-F02-201
PROP-B009-F01-U101,B009,LP009,1,101,130.1,Residential,IND-AP-VSP-DVD-LP009-B009-F01-101
PROP-B009-F02-U201,B009,LP009,2,201,130.1,Residential,IND-AP-VSP-DVD-LP009-B009-F02-201
PROP-B010-F01-U101,B010,LP010,1,101,209.3,Residential,IND-AP-VSP-DVD-LP010-B010-F01-101
PROP-B010-F02-U201,B010,LP010,2,201,209.3,Residential,IND-AP-VSP-DVD-LP010-B010-F02-201
PROP-B010-F03-U301,B010,LP010,3,301,209.3,Residential,IND-AP-VSP-DVD-LP010-B010-F03-301
PROP-B011-F01-U101,B011,LP011,1,101,179.5,Residential,IND-AP-VSP-DVD-LP011-B011-F01-101
PROP-B011-F01-U102,B011,LP011,1,102,179.5,Residential,IND-AP-VSP-DVD-LP011-B011-F01-102
PROP-B011-F01-U103,B011,LP011,1,103,179.5,Residential,IND-AP-VSP-DVD-LP011-B011-F01-103
PROP-B011-F01-U104,B011,LP011,1,104,179.5,Residential,IND-AP-VSP-DVD-LP011-B011-F01-104
PROP-B011-F02-U201,B011,LP011,2,201,179.5,Residential,IND-AP-VSP-DVD-LP011-B011-F02-201
PROP-B011-F02-U202,B011,LP011,2,202,179.5,Residential,IND-AP-VSP-DVD-LP011-B011-F02-202
PROP-B011-F02-U203,B011,LP011,2,203,179.5,Residential,IND-AP-VSP-DVD-LP011-B011-F02-203
PROP-B011-F02-U204,B011,LP011,2,204,179.5,Residential,IND-AP-VSP-DVD-LP011-B011-F02-204
PROP-B011-F03-U301,B011,LP011,3,301,179.5,Residential,IND-AP-VSP-DVD-LP011-B011-F03-301
PROP-B011-F03-U302,B011,LP011,3,302,179.5,Residential,IND-AP-VSP-DVD-LP011-B011-F03-302
PROP-B011-F03-U303,B011,LP011,3,303,179.5,Residential,IND-AP-VSP-DVD-LP011-B011-F03-303
PROP-B011-F03-U304,B011,LP011,3,304,179.5,Residential,IND-AP-VSP-DVD-LP011-B011-F03-304
PROP-B011-F04-U401,B011,LP011,4,401,179.5,Residential,IND-AP-VSP-DVD-LP011-B011-F04-401
PROP-B011-F04-U402,B011,LP011,4,402,179.5,Residential,IND-AP-VSP-DVD-LP011-B011-F04-402
PROP-B011-F04-U403,B011,LP011,4,403,179.5,Residential,IND-AP-VSP-DVD-LP011-B011-F04-403
PROP-B011-F04-U404,B011,LP011,4,404,179.5,Residential,IND-AP-VSP-DVD-LP011-B011-F04-404
PROP-B011-F05-U501,B011,LP011,5,501,179.5,Residential,IND-AP-VSP-DVD-LP011-B011-F05-501
PROP-B011-F05-U502,B011,LP011,5,502,179.5,Residential,IND-AP-VSP-DVD-LP011-B011-F05-502
PROP-B011-F05-U503,B011,LP011,5,503,179.5,Residential,IND-AP-VSP-DVD-LP011-B011-F05-503
PROP-B011-F05-U504,B011,LP011,5,504,179.5,Residential,IND-AP-VSP-DVD-LP011-B011-F05-504
PROP-B012-F01-U101,B012,LP012,1,101,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F01-101
PROP-B012-F01-U102,B012,LP012,1,102,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F01-102
PROP-B012-F01-U103,B012,LP012,1,103,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F01-103
PROP-B012-F01-U104,B012,LP012,1,104,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F01-104
PROP-B012-F02-U201,B012,LP012,2,201,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F02-201
PROP-B012-F02-U202,B012,LP012,2,202,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F02-202
PROP-B012-F02-U203,B012,LP012,2,203,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F02-203
PROP-B012-F02-U204,B012,LP012,2,204,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F02-204
PROP-B012-F03-U301,B012,LP012,3,301,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F03-301
PROP-B012-F03-U302,B012,LP012,3,302,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F03-302
PROP-B012-F03-U303,B012,LP012,3,303,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F03-303
PROP-B012-F03-U304,B012,LP012,3,304,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F03-304
PROP-B012-F04-U401,B012,LP012,4,401,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F04-401
PROP-B012-F04-U402,B012,LP012,4,402,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F04-402
PROP-B012-F04-U403,B012,LP012,4,403,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F04-403
PROP-B012-F04-U404,B012,LP012,4,404,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F04-404
PROP-B012-F05-U501,B012,LP012,5,501,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F05-501
PROP-B012-F05-U502,B012,LP012,5,502,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F05-502
PROP-B012-F05-U503,B012,LP012,5,503,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F05-503
PROP-B012-F05-U504,B012,LP012,5,504,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F05-504
PROP-B012-F06-U601,B012,LP012,6,601,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F06-601
PROP-B012-F06-U602,B012,LP012,6,602,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F06-602
PROP-B012-F06-U603,B012,LP012,6,603,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F06-603
PROP-B012-F06-U604,B012,LP012,6,604,74.6,Residential,IND-AP-VSP-DVD-LP012-B012-F06-604
PROP-B013-F01-U101,B013,LP013,1,101,64.7,Residential,IND-AP-VSP-DVD-LP013-B013-F01-101
PROP-B013-F01-U102,B013,LP013,1,102,64.7,Residential,IND-AP-VSP-DVD-LP013-B013-F01-102
PROP-B013-F01-U103,B013,LP013,1,103,64.7,Residential,IND-AP-VSP-DVD-LP013-B013-F01-103
PROP-B013-F01-U104,B013,LP013,1,104,64.7,Residential,IND-AP-VSP-DVD-LP013-B013-F01-104
PROP-B013-F02-U201,B013,LP013,2,201,64.7,Residential,IND-AP-VSP-DVD-LP013-B013-F02-201
PROP-B013-F02-U202,B013,LP013,2,202,64.7,Residential,IND-AP-VSP-DVD-LP013-B013-F02-202
PROP-B013-F02-U203,B013,LP013,2,203,64.7,Residential,IND-AP-VSP-DVD-LP013-B013-F02-203
PROP-B013-F02-U204,B013,LP013,2,204,64.7,Residential,IND-AP-VSP-DVD-LP013-B013-F02-204
PROP-B013-F03-U301,B013,LP013,3,301,64.7,Residential,IND-AP-VSP-DVD-LP013-B013-F03-301
PROP-B013-F03-U302,B013,LP013,3,302,64.7,Residential,IND-AP-VSP-DVD-LP013-B013-F03-302
PROP-B013-F03-U303,B013,LP013,3,303,64.7,Residential,IND-AP-VSP-DVD-LP013-B013-F03-303
PROP-B013-F03-U304,B013,LP013,3,304,64.7,Residential,IND-AP-VSP-DVD-LP013-B013-F03-304
PROP-B013-F04-U401,B013,LP013,4,401,64.7,Residential,IND-AP-VSP-DVD-LP013-B013-F04-401
PROP-B013-F04-U402,B013,LP013,4,402,64.7,Residential,IND-AP-VSP-DVD-LP013-B013-F04-402
PROP-B013-F04-U403,B013,LP013,4,403,64.7,Residential,IND-AP-VSP-DVD-LP013-B013-F04-403
PROP-B013-F04-U404,B013,LP013,4,404,64.7,Residential,IND-AP-VSP-DVD-LP013-B013-F04-404
PROP-B013-F05-U501,B013,LP013,5,501,64.7,Residential,IND-AP-VSP-DVD-LP013-B013-F05-501
PROP-B013-F05-U502,B013,LP013,5,502,64.7,Residential,IND-AP-VSP-DVD-LP013-B013-F05-502
PROP-B013-F05-U503,B013,LP013,5,503,64.7,Residential,IND-AP-VSP-DVD-LP013-B013-F05-503
PROP-B013-F05-U504,B013,LP013,5,504,64.7,Residential,IND-AP-VSP-DVD-LP013-B013-F05-504
PROP-B014-F01-U101,B014,LP014,1,101,43.1,Residential,IND-AP-VSP-DVD-LP014-B014-F01-101
PROP-B014-F01-U102,B014,LP014,1,102,43.1,Residential,IND-AP-VSP-DVD-LP014-B014-F01-102
PROP-B014-F01-U103,B014,LP014,1,103,43.1,Residential,IND-AP-VSP-DVD-LP014-B014-F01-103
PROP-B014-F01-U104,B014,LP014,1,104,43.1,Residential,IND-AP-VSP-DVD-LP014-B014-F01-104
PROP-B014-F02-U201,B014,LP014,2,201,43.1,Residential,IND-AP-VSP-DVD-LP014-B014-F02-201
PROP-B014-F02-U202,B014,LP014,2,202,43.1,Residential,IND-AP-VSP-DVD-LP014-B014-F02-202
PROP-B014-F02-U203,B014,LP014,2,203,43.1,Residential,IND-AP-VSP-DVD-LP014-B014-F02-203
PROP-B014-F02-U204,B014,LP014,2,204,43.1,Residential,IND-AP-VSP-DVD-LP014-B014-F02-204
PROP-B014-F03-U301,B014,LP014,3,301,43.1,Residential,IND-AP-VSP-DVD-LP014-B014-F03-301
PROP-B014-F03-U302,B014,LP014,3,302,43.1,Residential,IND-AP-VSP-DVD-LP014-B014-F03-302
PROP-B014-F03-U303,B014,LP014,3,303,43.1,Residential,IND-AP-VSP-DVD-LP014-B014-F03-303
PROP-B014-F03-U304,B014,LP014,3,304,43.1,Residential,IND-AP-VSP-DVD-LP014-B014-F03-304
PROP-B014-F04-U401,B014,LP014,4,401,43.1,Residential,IND-AP-VSP-DVD-LP014-B014-F04-401
PROP-B014-F04-U402,B014,LP014,4,402,43.1,Residential,IND-AP-VSP-DVD-LP014-B014-F04-402
PROP-B014-F04-U403,B014,LP014,4,403,43.1,Residential,IND-AP-VSP-DVD-LP014-B014-F04-403
PROP-B014-F04-U404,B014,LP014,4,404,43.1,Residential,IND-AP-VSP-DVD-LP014-B014-F04-404
PROP-B014-F05-U501,B014,LP014,5,501,43.1,Residential,IND-AP-VSP-DVD-LP014-B014-F05-501
PROP-B014-F05-U502,B014,LP014,5,502,43.1,Residential,IND-AP-VSP-DVD-LP014-B014-F05-502
PROP-B014-F05-U503,B014,LP014,5,503,43.1,Residential,IND-AP-VSP-DVD-LP014-B014-F05-503
PROP-B014-F05-U504,B014,LP014,5,504,43.1,Residential,IND-AP-VSP-DVD-LP014-B014-F05-504
PROP-B015-F01-U101,B015,LP015,1,101,49.2,Residential,IND-AP-VSP-DVD-LP015-B015-F01-101
PROP-B015-F01-U102,B015,LP015,1,102,49.2,Residential,IND-AP-VSP-DVD-LP015-B015-F01-102
PROP-B015-F01-U103,B015,LP015,1,103,49.2,Residential,IND-AP-VSP-DVD-LP015-B015-F01-103
PROP-B015-F01-U104,B015,LP015,1,104,49.2,Residential,IND-AP-VSP-DVD-LP015-B015-F01-104
PROP-B015-F02-U201,B015,LP015,2,201,49.2,Residential,IND-AP-VSP-DVD-LP015-B015-F02-201
PROP-B015-F02-U202,B015,LP015,2,202,49.2,Residential,IND-AP-VSP-DVD-LP015-B015-F02-202
PROP-B015-F02-U203,B015,LP015,2,203,49.2,Residential,IND-AP-VSP-DVD-LP015-B015-F02-203
PROP-B015-F02-U204,B015,LP015,2,204,49.2,Residential,IND-AP-VSP-DVD-LP015-B015-F02-204
PROP-B015-F03-U301,B015,LP015,3,301,49.2,Residential,IND-AP-VSP-DVD-LP015-B015-F03-301
PROP-B015-F03-U302,B015,LP015,3,302,49.2,Residential,IND-AP-VSP-DVD-LP015-B015-F03-302
PROP-B015-F03-U303,B015,LP015,3,303,49.2,Residential,IND-AP-VSP-DVD-LP015-B015-F03-303
PROP-B015-F03-U304,B015,LP015,3,304,49.2,Residential,IND-AP-VSP-DVD-LP015-B015-F03-304
PROP-B015-F04-U401,B015,LP015,4,401,49.2,Residential,IND-AP-VSP-DVD-LP015-B015-F04-401
PROP-B015-F04-U402,B015,LP015,4,402,49.2,Residential,IND-AP-VSP-DVD-LP015-B015-F04-402
PROP-B015-F04-U403,B015,LP015,4,403,49.2,Residential,IND-AP-VSP-DVD-LP015-B015-F04-403
PROP-B015-F04-U404,B015,LP015,4,404,49.2,Residential,IND-AP-VSP-DVD-LP015-B015-F04-404
PROP-B015-F05-U501,B015,LP015,5,501,49.2,Residential,IND-AP-VSP-DVD-LP015-B015-F05-501
PROP-B015-F05-U502,B015,LP015,5,502,49.2,Residential,IND-AP-VSP-DVD-LP015-B015-F05-502
PROP-B015-F05-U503,B015,LP015,5,503,49.2,Residential,IND-AP-VSP-DVD-LP015-B015-F05-503
PROP-B015-F05-U504,B015,LP015,5,504,49.2,Residential,IND-AP-VSP-DVD-LP015-B015-F05-504
PROP-B016-F01-U101,B016,LP016,1,101,138.1,Residential,IND-AP-VSP-DVD-LP016-B016-F01-101
PROP-B016-F02-U201,B016,LP016,2,201,138.1,Residential,IND-AP-VSP-DVD-LP016-B016-F02-201
PROP-B017-F01-U101,B017,LP017,1,101,123.3,Residential,IND-AP-VSP-DVD-LP017-B017-F01-101
PROP-B017-F02-U201,B017,LP017,2,201,123.3,Residential,IND-AP-VSP-DVD-LP017-B017-F02-201
PROP-B017-F03-U301,B017,LP017,3,301,123.3,Residential,IND-AP-VSP-DVD-LP017-B017-F03-301
PROP-B018-F01-U101,B018,LP018,1,101,100,Residential,IND-AP-VSP-DVD-LP018-B018-F01-101
PROP-B018-F02-U201,B018,LP018,2,201,100,Residential,IND-AP-VSP-DVD-LP018-B018-F02-201
PROP-B018-F03-U301,B018,LP018,3,301,100,Residential,IND-AP-VSP-DVD-LP018-B018-F03-301
PROP-B019-F01-U101,B019,LP019,1,101,131.7,Residential,IND-AP-VSP-DVD-LP019-B019-F01-101
PROP-B019-F02-U201,B019,LP019,2,201,131.7,Residential,IND-AP-VSP-DVD-LP019-B019-F02-201
PROP-B020-F01-U101,B020,LP020,1,101,106,Residential,IND-AP-VSP-DVD-LP020-B020-F01-101
PROP-B021-F01-U101,B021,LP021,1,101,108.6,Residential,IND-AP-VSP-DVD-LP021-B021-F01-101
PROP-B022-F01-U101,B022,LP022,1,101,135.7,Residential,IND-AP-VSP-DVD-LP022-B022-F01-101
PROP-B022-F02-U201,B022,LP022,2,201,135.7,Residential,IND-AP-VSP-DVD-LP022-B022-F02-201
PROP-B023-F01-U101,B023,LP023,1,101,112.2,Residential,IND-AP-VSP-DVD-LP023-B023-F01-101
PROP-B023-F02-U201,B023,LP023,2,201,112.2,Residential,IND-AP-VSP-DVD-LP023-B023-F02-201
PROP-B024-F01-U101,B024,LP024,1,101,50.4,Residential,IND-AP-VSP-DVD-LP024-B024-F01-101
PROP-B024-F01-U102,B024,LP024,1,102,50.4,Residential,IND-AP-VSP-DVD-LP024-B024-F01-102
PROP-B024-F01-U103,B024,LP024,1,103,50.4,Residential,IND-AP-VSP-DVD-LP024-B024-F01-103
PROP-B024-F01-U104,B024,LP024,1,104,50.4,Residential,IND-AP-VSP-DVD-LP024-B024-F01-104
PROP-B024-F02-U201,B024,LP024,2,201,50.4,Residential,IND-AP-VSP-DVD-LP024-B024-F02-201
PROP-B024-F02-U202,B024,LP024,2,202,50.4,Residential,IND-AP-VSP-DVD-LP024-B024-F02-202
PROP-B024-F02-U203,B024,LP024,2,203,50.4,Residential,IND-AP-VSP-DVD-LP024-B024-F02-203
PROP-B024-F02-U204,B024,LP024,2,204,50.4,Residential,IND-AP-VSP-DVD-LP024-B024-F02-204
PROP-B025-F01-U101,B025,LP025,1,101,130,Residential,IND-AP-VSP-DVD-LP025-B025-F01-101
PROP-B025-F02-U201,B025,LP025,2,201,130,Residential,IND-AP-VSP-DVD-LP025-B025-F02-201
PROP-B026-F01-U101,B026,LP026,1,101,222.7,Residential,IND-AP-VSP-DVD-LP026-B026-F01-101
PROP-B027-F01-U101,B027,LP027,1,101,21.3,Residential,IND-AP-VSP-DVD-LP027-B027-F01-101
PROP-B027-F02-U201,B027,LP027,2,201,21.3,Residential,IND-AP-VSP-DVD-LP027-B027-F02-201
PROP-B028-F01-U101,B028,LP028,1,101,48.6,Residential,IND-AP-VSP-DVD-LP028-B028-F01-101
PROP-B028-F01-U102,B028,LP028,1,102,48.6,Residential,IND-AP-VSP-DVD-LP028-B028-F01-102
PROP-B028-F01-U103,B028,LP028,1,103,48.6,Residential,IND-AP-VSP-DVD-LP028-B028-F01-103
PROP-B028-F01-U104,B028,LP028,1,104,48.6,Residential,IND-AP-VSP-DVD-LP028-B028-F01-104
PROP-B028-F02-U201,B028,LP028,2,201,48.6,Residential,IND-AP-VSP-DVD-LP028-B028-F02-201
PROP-B028-F02-U202,B028,LP028,2,202,48.6,Residential,IND-AP-VSP-DVD-LP028-B028-F02-202
PROP-B028-F02-U203,B028,LP028,2,203,48.6,Residential,IND-AP-VSP-DVD-LP028-B028-F02-203
PROP-B028-F02-U204,B028,LP028,2,204,48.6,Residential,IND-AP-VSP-DVD-LP028-B028-F02-204
PROP-B028-F03-U301,B028,LP028,3,301,48.6,Residential,IND-AP-VSP-DVD-LP028-B028-F03-301
PROP-B028-F03-U302,B028,LP028,3,302,48.6,Residential,IND-AP-VSP-DVD-LP028-B028-F03-302
PROP-B028-F03-U303,B028,LP028,3,303,48.6,Residential,IND-AP-VSP-DVD-LP028-B028-F03-303
PROP-B028-F03-U304,B028,LP028,3,304,48.6,Residential,IND-AP-VSP-DVD-LP028-B028-F03-304
PROP-B028-F04-U401,B028,LP028,4,401,48.6,Residential,IND-AP-VSP-DVD-LP028-B028-F04-401
PROP-B028-F04-U402,B028,LP028,4,402,48.6,Residential,IND-AP-VSP-DVD-LP028-B028-F04-402
PROP-B028-F04-U403,B028,LP028,4,403,48.6,Residential,IND-AP-VSP-DVD-LP028-B028-F04-403
PROP-B028-F04-U404,B028,LP028,4,404,48.6,Residential,IND-AP-VSP-DVD-LP028-B028-F04-404
PROP-B028-F05-U501,B028,LP028,5,501,48.6,Residential,IND-AP-VSP-DVD-LP028-B028-F05-501
PROP-B028-F05-U502,B028,LP028,5,502,48.6,Residential,IND-AP-VSP-DVD-LP028-B028-F05-502
PROP-B028-F05-U503,B028,LP028,5,503,48.6,Residential,IND-AP-VSP-DVD-LP028-B028-F05-503
PROP-B028-F05-U504,B028,LP028,5,504,48.6,Residential,IND-AP-VSP-DVD-LP028-B028-F05-504
PROP-B029-F01-U101,B029,LP029,1,101,87.4,Residential,IND-AP-VSP-DVD-LP029-B029-F01-101
PROP-B029-F01-U102,B029,LP029,1,102,87.4,Residential,IND-AP-VSP-DVD-LP029-B029-F01-102
PROP-B029-F01-U103,B029,LP029,1,103,87.4,Residential,IND-AP-VSP-DVD-LP029-B029-F01-103
PROP-B029-F01-U104,B029,LP029,1,104,87.4,Residential,IND-AP-VSP-DVD-LP029-B029-F01-104
PROP-B029-F02-U201,B029,LP029,2,201,87.4,Residential,IND-AP-VSP-DVD-LP029-B029-F02-201
PROP-B029-F02-U202,B029,LP029,2,202,87.4,Residential,IND-AP-VSP-DVD-LP029-B029-F02-202
PROP-B029-F02-U203,B029,LP029,2,203,87.4,Residential,IND-AP-VSP-DVD-LP029-B029-F02-203
PROP-B029-F02-U204,B029,LP029,2,204,87.4,Residential,IND-AP-VSP-DVD-LP029-B029-F02-204
PROP-B029-F03-U301,B029,LP029,3,301,87.4,Residential,IND-AP-VSP-DVD-LP029-B029-F03-301
PROP-B029-F03-U302,B029,LP029,3,302,87.4,Residential,IND-AP-VSP-DVD-LP029-B029-F03-302
PROP-B029-F03-U303,B029,LP029,3,303,87.4,Residential,IND-AP-VSP-DVD-LP029-B029-F03-303
PROP-B029-F03-U304,B029,LP029,3,304,87.4,Residential,IND-AP-VSP-DVD-LP029-B029-F03-304
PROP-B029-F04-U401,B029,LP029,4,401,87.4,Residential,IND-AP-VSP-DVD-LP029-B029-F04-401
PROP-B029-F04-U402,B029,LP029,4,402,87.4,Residential,IND-AP-VSP-DVD-LP029-B029-F04-402
PROP-B029-F04-U403,B029,LP029,4,403,87.4,Residential,IND-AP-VSP-DVD-LP029-B029-F04-403
PROP-B029-F04-U404,B029,LP029,4,404,87.4,Residential,IND-AP-VSP-DVD-LP029-B029-F04-404
PROP-B029-F05-U501,B029,LP029,5,501,87.4,Residential,IND-AP-VSP-DVD-LP029-B029-F05-501
PROP-B029-F05-U502,B029,LP029,5,502,87.4,Residential,IND-AP-VSP-DVD-LP029-B029-F05-502
PROP-B029-F05-U503,B029,LP029,5,503,87.4,Residential,IND-AP-VSP-DVD-LP029-B029-F05-503
PROP-B029-F05-U504,B029,LP029,5,504,87.4,Residential,IND-AP-VSP-DVD-LP029-B029-F05-504
PROP-B030-F01-U101,B030,LP030,1,101,158.5,Residential,IND-AP-VSP-DVD-LP030-B030-F01-101
PROP-B030-F02-U201,B030,LP030,2,201,158.5,Residential,IND-AP-VSP-DVD-LP030-B030-F02-201
PROP-B030-F03-U301,B030,LP030,3,301,158.5,Residential,IND-AP-VSP-DVD-LP030-B030-F03-301
PROP-B031-F01-U101,B031,LP031,1,101,204,Residential,IND-AP-VSP-DVD-LP031-B031-F01-101
PROP-B031-F02-U201,B031,LP031,2,201,204,Residential,IND-AP-VSP-DVD-LP031-B031-F02-201
PROP-B032-F01-U101,B032,LP032,1,101,205.5,Residential,IND-AP-VSP-DVD-LP032-B032-F01-101
PROP-B032-F02-U201,B032,LP032,2,201,205.5,Residential,IND-AP-VSP-DVD-LP032-B032-F02-201
PROP-B033-F01-U101,B033,LP033,1,101,162,Residential,IND-AP-VSP-DVD-LP033-B033-F01-101
PROP-B033-F02-U201,B033,LP033,2,201,162,Residential,IND-AP-VSP-DVD-LP033-B033-F02-201
PROP-B034-F01-U101,B034,LP034,1,101,207.5,Residential,IND-AP-VSP-DVD-LP034-B034-F01-101
PROP-B034-F02-U201,B034,LP034,2,201,207.5,Residential,IND-AP-VSP-DVD-LP034-B034-F02-201
PROP-B034-F03-U301,B034,LP034,3,301,207.5,Residential,IND-AP-VSP-DVD-LP034-B034-F03-301
PROP-B035-F01-U101,B035,LP035,1,101,78.2,Residential,IND-AP-VSP-DVD-LP035-B035-F01-101
PROP-B036-F01-U101,B036,LP036,1,101,47.3,Residential,IND-AP-VSP-DVD-LP036-B036-F01-101
PROP-B036-F01-U102,B036,LP036,1,102,47.3,Residential,IND-AP-VSP-DVD-LP036-B036-F01-102
PROP-B036-F01-U103,B036,LP036,1,103,47.3,Residential,IND-AP-VSP-DVD-LP036-B036-F01-103
PROP-B036-F01-U104,B036,LP036,1,104,47.3,Residential,IND-AP-VSP-DVD-LP036-B036-F01-104
PROP-B037-F01-U101,B037,LP037,1,101,113.9,Shop,IND-AP-VSP-DVD-LP037-B037-F01-101
PROP-B037-F01-U102,B037,LP037,1,102,113.9,Shop,IND-AP-VSP-DVD-LP037-B037-F01-102
PROP-B037-F01-U103,B037,LP037,1,103,113.9,Shop,IND-AP-VSP-DVD-LP037-B037-F01-103
PROP-B038-F01-U101,B038,LP038,1,101,60.4,Residential,IND-AP-VSP-DVD-LP038-B038-F01-101
PROP-B039-F01-U101,B039,LP039,1,101,170.6,Residential,IND-AP-VSP-DVD-LP039-B039-F01-101
