Building_ID,Parcel_ID,Latitude,Longitude,Floors,Height_m,Building_Type,Name,Osm_ID,Area_sq_m,HasRealLevels,HasRealHeight
B039,LP039,17.696419,83.162591,3,9.600000000000001,Independent House,"Apparao Residency",487160824,200.7,true,false
B040,LP040,17.695938,83.162309,2,6.4,Independent House,"Duvvada Building B040",487160901,242.1,false,false
B041,LP041,17.695658,83.162359,2,6.4,Independent House,"Duvvada Building B041",487161017,214.5,false,false
B042,LP042,17.695457,83.162252,2,6.4,Independent House,"Tilak Residency",487161057,151.8,false,false
B043,LP043,17.695433,83.162054,2,6.4,Independent House,"Duvvada Building B043",487162103,238.5,false,false
B044,LP044,17.695355,83.162211,2,6.4,Independent House,"MuralidharReddy Residency",487162120,256.5,false,false
B045,LP045,17.694722,83.160889,2,6.4,Independent House,"venkateshwara Nilayam",487162142,210,false,false
B046,LP046,17.694692,83.160994,2,6.4,Independent House,"Trivedi Residency",487162146,215,false,false
B047,LP047,17.694634,83.161131,3,9.600000000000001,Independent House,"SVR Mansion",487162210,263.1,true,false
B048,LP048,17.694838,83.161293,2,6.4,Independent House,"emerald",487162233,150.9,false,false
B049,LP049,17.694959,83.161362,2,6.4,Independent House,"Ganesh Nivas",487162234,122.5,false,false
B050,LP050,17.694843,83.161437,2,6.4,Independent House,"Murali Residency",487162306,127.1,false,false
B051,LP051,17.694922,83.16149,2,6.4,Independent House,"Satish Kumar Residency",487162365,148.2,false,false
B052,LP052,17.695249,83.16137,2,6.4,Independent House,"Seshagiri Rao Residency",487162433,116.1,false,false
B053,LP053,17.695274,83.161285,2,6.4,Independent House,"Shanti Nivas",487162498,134.8,false,false
B054,LP054,17.695151,83.161523,2,6.4,Independent House,"Duvvada Building B054",487162732,166.8,false,false
B055,LP055,17.695286,83.161587,2,6.4,Independent House,"Duvvada Building B055",487162848,106.9,false,false
B056,LP056,17.695239,83.16168,2,6.4,Independent House,"Duvvada Building B056",487162951,153.6,false,false
B057,LP057,17.69548,83.161202,2,6.4,Independent House,"nayak Residency",487163512,140.6,true,false
B058,LP058,17.695384,83.161088,3,9.600000000000001,Independent House,"RAMA",487163574,198.3,true,false
B059,LP059,17.695734,83.161248,2,6.4,Independent House,"Bhavana Residency",487163715,133.2,false,false
B060,LP060,17.695689,83.161334,2,6.4,Independent House,"Duvvada Building B060",487163752,142.6,false,false
B061,LP061,17.695771,83.161479,2,6.4,Independent House,"Duvvada Building B061",487163764,118.3,false,false
B062,LP062,17.696071,83.161443,2,6.4,Independent House,"Madhav",487163838,190.9,false,false
B063,LP063,17.695998,83.161615,2,6.4,Independent House,"Srishti Residency",487163858,178.5,false,false
B064,LP064,17.696239,83.161555,2,6.4,Independent House,"Duvvada Building B064",487163863,145.4,false,false
B065,LP065,17.696319,83.161755,2,6.4,Independent House,"Duvvada Building B065",487163981,147.8,false,false
B066,LP066,17.696535,83.161709,5,16,Apartment,"Duvvada Apartments B066",487164288,160.6,false,false
B067,LP067,17.696576,83.161394,5,16,Apartment,"Chanakya Residency",487182677,231.9,true,false
B068,LP068,17.696808,83.161529,5,16,Apartment,"Panchajanya Heights",487182767,256,true,false
B069,LP069,17.696705,83.161992,2,6.4,Independent House,"Sri Lakshmi Venkateshwara Nilayam",487183042,207.7,true,false
B070,LP070,17.696546,83.161881,2,6.4,Independent House,"Murali Residency",487183240,130.6,false,false
B071,LP071,17.696469,83.161837,2,6.4,Independent House,"Mallepudi Nivas",487183352,149.8,false,false
B072,LP072,17.69628,83.162028,2,6.4,Independent House,"Rama Raju Nivas",487185367,149.5,false,false
B073,LP073,17.696139,83.162118,2,6.4,Independent House,"Madhava Rao Residency",487185980,141.4,true,false
B074,LP074,17.696087,83.161945,2,6.4,Independent House,"Duvvada Building B074",487187629,270.2,false,false
B075,LP075,17.696561,83.162267,3,9.600000000000001,Independent House,"Srinivasa Residency",487189443,129.5,true,false
B076,LP076,17.696511,83.162346,3,9.600000000000001,Independent House,"Venkata rao Residency",487191012,117.2,true,false
B077,LP077,17.696352,83.162239,3,9.600000000000001,Independent House,"Jagannadha Raju Residency",487191013,165.8,true,false
B078,LP078,17.695624,83.161785,2,6.4,Independent House,"Duvvada Building B078",487191087,137,false,false
B079,LP079,17.69549,83.161716,2,6.4,Independent House,"Duvvada Building B079",487191121,153,false,false
B080,LP080,17.695889,83.161799,2,6.4,Independent House,"Duvvada Building B080",487191258,120.9,false,false
B081,LP081,17.695982,83.161874,2,6.4,Independent House,"Duvvada Building B081",487191429,127.2,false,false
B082,LP082,17.695845,83.161884,2,6.4,Independent House,"Satish",487191463,126.6,false,false
B083,LP083,17.695919,83.162,2,6.4,Independent House,"Shiva Residency",487192037,123.7,true,false
B084,LP084,17.695807,83.161967,2,6.4,Independent House,"lakshmi nivas",487192118,147.4,true,false
B085,LP085,17.699362,83.15987,5,16,Apartment,"shakila grocery store",487193021,373.3,false,false
B086,LP086,17.698747,83.159942,2,6.4,Independent House,"Duvvada Building B086",487193227,68.5,false,false
B087,LP087,17.694881,83.165153,2,6.4,Independent House,"Pastry Chef(Bakery)",495476165,68.4,false,false
B088,LP088,17.699504,83.170028,3,9.600000000000001,Residential,"Duvvada Building B088",495476183,9938.2,false,false
B089,LP089,17.710983,83.150102,2,6.4,Independent House,"Duvvada Building B089",635487459,59.3,false,false
B090,LP090,17.711016,83.150007,2,6.4,Independent House,"Duvvada Building B090",635487460,59.2,false,false
B091,LP091,17.710956,83.14998,2,6.4,Independent House,"Duvvada Building B091",635487461,72.4,false,false
B092,LP092,17.710922,83.15007,2,6.4,Independent House,"Duvvada Building B092",635487462,72.6,false,false
B093,LP093,17.710738,83.150443,2,6.4,Independent House,"Duvvada Building B093",635487463,49,false,false
B094,LP094,17.710693,83.150257,5,16,Apartment,"Duvvada Building B094",635487464,183.6,false,false
B095,LP095,17.711239,83.150459,2,6.4,Independent House,"Duvvada Building B095",635487465,50.2,false,false
B096,LP096,17.71106,83.15038,2,6.4,Independent House,"Duvvada Building B096",635487466,63.9,false,false
B097,LP097,17.711494,83.151007,2,6.4,Independent House,"Duvvada Building B097",635487467,93.1,false,false
B098,LP098,17.711314,83.150495,2,6.4,Independent House,"Duvvada Building B098",635487468,64.7,false,false
B099,LP099,17.711485,83.150671,2,6.4,Independent House,"Duvvada Building B099",635487469,62.9,false,false
B100,LP100,17.711177,83.150775,2,6.4,Independent House,"Duvvada Building B100",635487470,50,false,false
B101,LP101,17.711001,83.151251,2,6.4,Independent House,"Duvvada Building B101",635487471,50.2,false,false
B102,LP102,17.710992,83.150788,2,6.4,Independent House,"Duvvada Building B102",635487472,73.9,false,false
B103,LP103,17.7106,83.150634,2,6.4,Independent House,"Duvvada Building B103",635487473,163.7,false,false
B104,LP104,17.710758,83.15079,2,6.4,Independent House,"Duvvada Building B104",635487474,138.7,false,false
B105,LP105,17.710918,83.151027,2,6.4,Independent House,"Duvvada Building B105",635487475,95,false,false
B106,LP106,17.712283,83.149849,4,12.8,Commercial,"Duvvada Building B106",635487476,444.5,false,false
B107,LP107,17.712643,83.151167,2,6.4,Independent House,"Duvvada Building B107",635487477,102.7,false,false
B108,LP108,17.712311,83.151617,2,6.4,Independent House,"Duvvada Building B108",635487478,62.6,false,false
B109,LP109,17.71216,83.151965,2,6.4,Independent House,"Duvvada Building B109",635487479,116.9,false,false
B110,LP110,17.711851,83.15197,2,6.4,Independent House,"Duvvada Building B110",635487480,118.4,false,false
B111,LP111,17.712273,83.151139,2,6.4,Independent House,"Duvvada Building B111",635487481,82.3,false,false
B112,LP112,17.712195,83.151018,2,6.4,Independent House,"Duvvada Building B112",635487482,82.3,false,false
B113,LP113,17.71177,83.150129,2,6.4,Independent House,"Duvvada Building B113",635487483,97.2,false,false
B114,LP114,17.711944,83.150906,2,6.4,Independent House,"Duvvada Building B114",635487484,79,false,false
B115,LP115,17.711686,83.150617,2,6.4,Independent House,"Duvvada Building B115",635487485,76,false,false
B116,LP116,17.711802,83.150285,2,6.4,Independent House,"Duvvada Building B116",635487486,175.1,false,false
B117,LP117,17.711349,83.150958,2,6.4,Independent House,"Duvvada Building B117",635487487,75.9,false,false
B118,LP118,17.711822,83.150931,2,6.4,Independent House,"Duvvada Building B118",635487488,79,false,false
B119,LP119,17.711863,83.1511,2,6.4,Independent House,"Duvvada Building B119",635487489,72.2,false,false
B120,LP120,17.711683,83.151639,2,6.4,Independent House,"Duvvada Building B120",635487490,72.4,false,false
B121,LP121,17.711492,83.151742,2,6.4,Independent House,"Duvvada Building B121",635487491,171.6,false,false
B122,LP122,17.711659,83.151314,2,6.4,Independent House,"Duvvada Building B122",635487492,93.3,false,false
B123,LP123,17.711611,83.151436,2,6.4,Independent House,"Duvvada Building B123",635487493,97.6,false,false
B124,LP124,17.693719,83.164395,2,6.4,Independent House,"Duvvada Building B124",635518520,138.2,false,false
B125,LP125,17.693606,83.164367,2,6.4,Independent House,"Duvvada Building B125",635518522,138.2,false,false
B126,LP126,17.693771,83.164145,5,16,Apartment,"Duvvada Building B126",635518523,248.4,false,false
B127,LP127,17.693825,83.164015,2,6.4,Independent House,"Duvvada Building B127",635518525,168.6,false,false
B128,LP128,17.693843,83.163835,2,6.4,Independent House,"Duvvada Building B128",635518527,123.5,false,false
B129,LP129,17.693676,83.163424,4,12.8,Commercial,"Duvvada Building B129",635518529,442.6,false,false
B130,LP130,17.69373,83.16322,5,16,Apartment,"Duvvada Building B130",635518531,265.9,false,false
B131,LP131,17.693728,83.16288,5,16,Apartment,"Duvvada Building B131",635518532,194.7,false,false
B132,LP132,17.693407,83.162782,5,16,Apartment,"Duvvada Building B132",635518533,274.9,false,false
B133,LP133,17.692928,83.162843,2,6.4,Independent House,"Duvvada Building B133",635518534,136.6,false,false
B134,LP134,17.692977,83.163054,2,6.4,Independent House,"Duvvada Building B134",635518535,163.3,false,false
B135,LP135,17.692851,83.163027,2,6.4,Independent House,"Duvvada Building B135",635518536,163.3,false,false
B136,LP136,17.692487,83.163036,2,6.4,Independent House,"Duvvada Building B136",635518538,85.4,false,false
B137,LP137,17.69247,83.162955,2,6.4,Independent House,"Duvvada Building B137",635518540,158,false,false
B138,LP138,17.692573,83.162643,5,16,Apartment,"Duvvada Building B138",635518542,298.3,false,false
B139,LP139,17.692585,83.162466,5,16,Apartment,"Duvvada Building B139",635518544,324.9,false,false
B140,LP140,17.693242,83.161832,5,16,Apartment,"Duvvada Building B140",635518546,377.7,false,false
B141,LP141,17.6931,83.161777,5,16,Apartment,"Duvvada Building B141",635518547,243.7,false,false
B142,LP142,17.693191,83.161532,2,6.4,Independent House,"Duvvada Building B142",635518548,164.7,false,false
B143,LP143,17.692977,83.161328,5,16,Apartment,"Duvvada Building B143",635518549,231.6,false,false
B144,LP144,17.692852,83.161606,5,16,Apartment,"Duvvada Building B144",635518550,183.6,false,false
B145,LP145,17.692854,83.161753,2,6.4,Independent House,"Duvvada Building B145",635518551,138.8,false,false
B146,LP146,17.692769,83.161726,2,6.4,Independent House,"Duvvada Building B146",635518553,138.8,false,false
B147,LP147,17.692985,83.162043,4,12.8,Commercial,"Duvvada Building B147",635518555,439.8,false,false
B148,LP148,17.692373,83.16114,2,6.4,Independent House,"Duvvada Building B148",635518557,123.7,false,false
B149,LP149,17.692742,83.16102,4,12.8,Commercial,"Duvvada Building B149",635518559,413.1,false,false
B150,LP150,17.692659,83.161262,5,16,Apartment,"Duvvada Building B150",635518561,330.9,false,false
B151,LP151,17.692616,83.161614,2,6.4,Independent House,"Duvvada Building B151",635518567,119.4,false,false
B152,LP152,17.692487,83.161618,5,16,Apartment,"Duvvada Building B152",635518569,230.5,false,false
B153,LP153,17.692379,83.16141,5,16,Apartment,"Duvvada Building B153",635518571,183.6,false,false
B154,LP154,17.692184,83.161524,5,16,Apartment,"Duvvada Building B154",635518573,228,false,false
B155,LP155,17.692328,83.161561,5,16,Apartment,"Duvvada Building B155",635518575,215.9,false,false
B156,LP156,17.692026,83.162844,2,6.4,Independent House,"Duvvada Building B156",635518576,126.4,false,false
B157,LP157,17.692054,83.162751,2,6.4,Independent House,"Duvvada Building B157",635518578,126.3,false,false
B158,LP158,17.692092,83.162531,2,6.4,Independent House,"Duvvada Building B158",635518580,179.3,false,false
B159,LP159,17.69194,83.162474,2,6.4,Independent House,"Duvvada Building B159",635518582,139.5,false,false
B160,LP160,17.691658,83.162123,2,6.4,Independent House,"Duvvada Building B160",635518584,172.6,false,false
B161,LP161,17.691672,83.16183,2,6.4,Independent House,"Duvvada Building B161",635518586,170.7,false,false
B162,LP162,17.691329,83.161634,2,6.4,Independent House,"Duvvada Building B162",635518588,118.2,false,false
B163,LP163,17.691464,83.161598,5,16,Apartment,"Duvvada Building B163",635518590,379,false,false
B164,LP164,17.691361,83.161791,4,12.8,Commercial,"Duvvada Building B164",635518592,439.1,false,false
B165,LP165,17.691189,83.161989,2,6.4,Independent House,"Duvvada Building B165",635518594,115.2,false,false
B166,LP166,17.691364,83.161977,5,16,Apartment,"Duvvada Building B166",635518596,279,false,false
B167,LP167,17.690959,83.163014,5,16,Apartment,"Duvvada Building B167",635518598,198.7,false,false
B168,LP168,17.691019,83.162804,5,16,Apartment,"Duvvada Building B168",635518599,192,false,false
B169,LP169,17.691226,83.162976,2,6.4,Independent House,"Duvvada Building B169",635518600,158.9,false,false
B170,LP170,17.691156,83.1643,2,6.4,Independent House,"Duvvada Building B170",635518601,179.1,false,false
B171,LP171,17.691013,83.164257,2,6.4,Independent House,"Duvvada Building B171",635518604,177.2,false,false
B172,LP172,17.691586,83.164085,2,6.4,Independent House,"Duvvada Building B172",635518606,179.4,false,false
B173,LP173,17.691439,83.16404,5,16,Apartment,"Duvvada Building B173",635518609,219.2,false,false
B174,LP174,17.69172,83.163368,2,6.4,Independent House,"Duvvada Building B174",635518610,169.1,false,false
B175,LP175,17.691594,83.16332,2,6.4,Independent House,"Duvvada Building B175",635518612,169.1,false,false
B176,LP176,17.691611,83.163483,2,6.4,Independent House,"Duvvada Building B176",635518614,118.8,false,false
B177,LP177,17.691695,83.163521,2,6.4,Independent House,"Duvvada Building B177",635518615,118.7,false,false
B178,LP178,17.691624,83.163771,2,6.4,Independent House,"Duvvada Building B178",635518616,164.8,false,false
B179,LP179,17.691509,83.163728,2,6.4,Independent House,"Duvvada Building B179",635518617,164.9,false,false
B180,LP180,17.691894,83.163187,2,6.4,Independent House,"Duvvada Building B180",635518618,133.1,false,false
B181,LP181,17.691915,83.163109,2,6.4,Independent House,"Duvvada Building B181",635518619,133.1,false,false
B182,LP182,17.692092,83.163198,2,6.4,Independent House,"Duvvada Building B182",635518620,105.1,false,false
B183,LP183,17.69226,83.163395,2,6.4,Independent House,"Duvvada Building B183",635518621,160.5,false,false
B184,LP184,17.692112,83.163355,5,16,Apartment,"Duvvada Building B184",635518622,209.7,false,false
B185,LP185,17.693294,83.163228,5,16,Apartment,"Duvvada Building B185",635518623,226.1,false,false
B186,LP186,17.693262,83.163375,5,16,Apartment,"Duvvada Building B186",635518624,199.4,false,false
B187,LP187,17.693189,83.16384,5,16,Apartment,"Duvvada Building B187",635518625,282.6,false,false
B188,LP188,17.69331,83.16369,5,16,Apartment,"Duvvada Building B188",635518626,365.3,false,false
B189,LP189,17.692981,83.163557,5,16,Apartment,"Duvvada Building B189",635518627,239.5,false,false
B190,LP190,17.692814,83.163566,2,6.4,Independent House,"Duvvada Building B190",635518628,153.1,false,false
B191,LP191,17.692838,83.163471,2,6.4,Independent House,"Duvvada Building B191",635518629,153,false,false
B192,LP192,17.692891,83.16388,2,6.4,Independent House,"Duvvada Building B192",635518630,119.4,false,false
B193,LP193,17.692908,83.16379,2,6.4,Independent House,"Duvvada Building B193",635518631,119.4,false,false
B194,LP194,17.691718,83.164352,5,16,Apartment,"Duvvada Building B194",635518632,272.5,false,false
B195,LP195,17.691709,83.164537,2,6.4,Independent House,"Duvvada Building B195",635518633,152.5,false,false
B196,LP196,17.69198,83.164644,2,6.4,Independent House,"Duvvada Building B196",635518634,143.4,false,false
B197,LP197,17.691887,83.164451,5,16,Apartment,"Duvvada Building B197",635518636,203.6,false,false
B198,LP198,17.692045,83.163604,2,6.4,Independent House,"Duvvada Building B198",635518638,158.3,false,false
B199,LP199,17.692019,83.163717,2,6.4,Independent House,"Duvvada Building B199",635518640,162.5,false,false
B200,LP200,17.691966,83.163911,2,6.4,Independent House,"Duvvada Building B200",635518642,93.6,false,false
B201,LP201,17.692161,83.163831,5,16,Apartment,"Duvvada Building B201",635518644,223.7,false,false
B202,LP202,17.692091,83.164106,4,12.8,Commercial,"Duvvada Building B202",635518646,439.8,false,false
B203,LP203,17.692297,83.165096,2,6.4,Independent House,"Duvvada Building B203",635518647,144.7,false,false
B204,LP204,17.692191,83.16507,2,6.4,Independent House,"Duvvada Building B204",635518649,144.8,false,false
B205,LP205,17.692421,83.16482,2,6.4,Independent House,"Duvvada Building B205",635518651,83.3,false,false
B206,LP206,17.692355,83.164805,2,6.4,Independent House,"Duvvada Building B206",635518653,83.4,false,false
B207,LP207,17.692289,83.164789,2,6.4,Independent House,"Duvvada Building B207",635518655,83.3,false,false
B208,LP208,17.692223,83.164774,2,6.4,Independent House,"Duvvada Building B208",635518657,83.4,false,false
B209,LP209,17.692482,83.164639,2,6.4,Independent House,"Duvvada Building B209",635518659,166.6,false,false
B210,LP210,17.692408,83.16462,2,6.4,Independent House,"Duvvada Building B210",635518661,166.5,false,false
B211,LP211,17.692333,83.164601,2,6.4,Independent House,"Duvvada Building B211",635518663,166.6,false,false
B212,LP212,17.692258,83.164582,2,6.4,Independent House,"Duvvada Building B212",635518665,166.5,false,false
B213,LP213,17.692425,83.164042,5,16,Apartment,"Duvvada Building B213",635518667,216.1,false,false
B214,LP214,17.692444,83.163962,5,16,Apartment,"Duvvada Building B214",635518669,216.3,false,false
B215,LP215,17.692463,83.163881,5,16,Apartment,"Duvvada Building B215",635518671,216.1,false,false
B216,LP216,17.697707,83.159608,5,16,Apartment,"Duvvada Building B216",635521548,269.1,false,false
B217,LP217,17.69783,83.159386,5,16,Apartment,"Duvvada Building B217",635521549,348.8,false,false
B218,LP218,17.697866,83.159661,5,16,Apartment,"Duvvada Building B218",635521550,209.9,false,false
B219,LP219,17.698032,83.160021,5,16,Apartment,"Duvvada Building B219",635521551,317.9,false,false
B220,LP220,17.697861,83.159964,5,16,Apartment,"Duvvada Building B220",635521552,223.4,false,false
B221,LP221,17.697825,83.160712,5,16,Apartment,"Duvvada Building B221",635521553,282.2,false,false
B222,LP222,17.697406,83.160423,4,12.8,Commercial,"Duvvada Building B222",635521554,426.5,false,false
B223,LP223,17.697342,83.16099,2,6.4,Independent House,"Duvvada Building B223",635521555,101.7,false,false
B224,LP224,17.697466,83.161076,5,16,Apartment,"Duvvada Building B224",635521556,214.2,false,false
B225,LP225,17.697283,83.161096,2,6.4,Independent House,"Duvvada Building B225",635521557,123.7,false,false
B226,LP226,17.689929,83.166193,4,12.8,Commercial,"Duvvada Building B226",647927762,499.8,false,false
B227,LP227,17.690016,83.165793,2,6.4,Independent House,"Duvvada Building B227",647927767,137.8,false,false
B228,LP228,17.690258,83.165851,5,16,Apartment,"Duvvada Building B228",647927768,249,false,false
B229,LP229,17.690517,83.165434,5,16,Apartment,"Duvvada Building B229",647927769,384.8,false,false
B230,LP230,17.690175,83.164865,5,16,Apartment,"Duvvada Building B230",647927770,258.3,false,false
B231,LP231,17.690069,83.165554,5,16,Apartment,"Duvvada Building B231",647927771,247.7,false,false
B232,LP232,17.689955,83.165388,2,6.4,Independent House,"Duvvada Building B232",647927772,131.5,false,false
B233,LP233,17.690087,83.165391,2,6.4,Independent House,"Duvvada Building B233",647927773,102.9,false,false
B234,LP234,17.690034,83.165084,2,6.4,Independent House,"Duvvada Building B234",647927774,169.4,false,false
B235,LP235,17.690068,83.164971,2,6.4,Independent House,"Duvvada Building B235",647927775,141.3,false,false
B236,LP236,17.690258,83.165436,2,6.4,Independent House,"Duvvada Building B236",647927776,148.4,false,false
B237,LP237,17.690413,83.164951,2,6.4,Independent House,"Duvvada Building B237",647927777,137.6,false,false
B238,LP238,17.690667,83.164777,5,16,Apartment,"Duvvada Building B238",647927778,208.8,false,false
B239,LP239,17.690355,83.16461,2,6.4,Independent House,"Duvvada Building B239",647927779,147.1,false,false
B240,LP240,17.69021,83.164576,2,6.4,Independent House,"Duvvada Building B240",647927780,136.9,false,false
B241,LP241,17.690341,83.164451,5,16,Apartment,"Duvvada Building B241",647927781,319.1,false,false
B242,LP242,17.690281,83.164104,2,6.4,Independent House,"Duvvada Building B242",647927782,141.7,false,false
B243,LP243,17.690509,83.163601,4,12.8,Commercial,"Duvvada Building B243",647927783,685.5,false,false
B244,LP244,17.689996,83.163778,4,12.8,Commercial,"Duvvada Building B244",647927784,529.9,false,false
B245,LP245,17.690073,83.163467,4,12.8,Commercial,"Duvvada Building B245",647927785,440.4,false,false
B246,LP246,17.690143,83.163198,2,6.4,Independent House,"Duvvada Building B246",647927786,179.8,false,false
B247,LP247,17.690183,83.163032,5,16,Apartment,"Duvvada Building B247",647927787,227.8,false,false
B248,LP248,17.689899,83.163136,5,16,Apartment,"Duvvada Building B248",647927789,353.7,false,false
B249,LP249,17.702268,83.16326,4,12.8,Commercial,"Gloria Vidyakendram",942547955,2802.8,false,false
B250,LP250,17.702604,83.162769,5,16,Apartment,"Maa Sai Towers",942548271,250.5,false,false
B251,LP251,17.696568,83.152013,2,6.4,Independent House,"Duvvada Building B251",1156967994,139.1,false,false
B252,LP252,17.694111,83.155736,2,6.4,Independent House,"Duvvada Building B252",1255211402,78.1,false,false
B253,LP253,17.710714,83.149606,2,6.4,Independent House,"Duvvada Building B253",1255211630,42.2,false,false
B254,LP254,17.690755,83.15904,2,6.4,Independent House,"Duvvada Building B254",1355590981,160.6,false,false
B255,LP255,17.692256,83.156956,5,16,Apartment,"Duvvada Building B255",1355590982,277.9,false,false
B256,LP256,17.692773,83.15779,5,16,Apartment,"Duvvada Building B256",1355590983,360.9,false,false
B257,LP257,17.693236,83.15828,4,12.8,Commercial,"Duvvada Building B257",1355590984,956.7,false,false
B258,LP258,17.693471,83.15805,5,16,Apartment,"Duvvada Building B258",1355590985,255.7,false,false
B259,LP259,17.693177,83.157953,5,16,Apartment,"Duvvada Building B259",1355590986,244.4,false,false
B260,LP260,17.693396,83.157789,4,12.8,Commercial,"Duvvada Building B260",1355590987,820.2,false,false
B261,LP261,17.697574,83.158874,5,16,Apartment,"Duvvada Building B261",1355590989,382.5,false,false
B262,LP262,17.704375,83.163264,2,6.4,Independent House,"Duvvada Building B262",1355590991,163.6,false,false
B263,LP263,17.698798,83.170365,4,12.8,Commercial,"Duvvada Building B263",1355590994,8444,false,false
B264,LP264,17.703752,83.168429,5,16,Apartment,"Duvvada Building B264",1355590996,236.1,false,false
B265,LP265,17.703538,83.16888,5,16,Apartment,"Duvvada Building B265",1355590997,358.5,false,false
B266,LP266,17.703648,83.168644,5,16,Apartment,"Duvvada Building B266",1355590998,341.6,false,false
B267,LP267,17.704521,83.168698,5,16,Apartment,"Duvvada Building B267",1355590999,325.7,false,false
B268,LP268,17.704037,83.168532,5,16,Apartment,"Duvvada Building B268",1355591000,361.6,false,false
B269,LP269,17.703909,83.168788,4,12.8,Commercial,"Duvvada Building B269",1355591001,410.9,false,false
B270,LP270,17.703787,83.169066,4,12.8,Commercial,"Duvvada Building B270",1355591002,410.9,false,false
B271,LP271,17.704437,83.16893,5,16,Apartment,"Duvvada Building B271",1355591003,325.7,false,false
B272,LP272,17.703895,83.169574,5,16,Apartment,"Duvvada Building B272",1355591004,222.2,false,false
B273,LP273,17.70395,83.1694,5,16,Apartment,"Duvvada Building B273",1355591005,235.1,false,false
B274,LP274,17.704191,83.168896,4,12.8,Commercial,"Duvvada Building B274",1355591006,407.9,false,false
